flight_year,carrier,airport,uid,flight_month,Latitude,Longitude,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2013,UA,DCA,31787,78,-924.4512,466.22520000000003,7021,1253,394,53,396,1,411,162,12,1251.0,20222,4051,21348,22,29446
2013,UA,DEN,31677,78,-1256.064,478.34028000000006,43913,7891,2502,219,2748,10,2410,332,114,7613.0,145170,17428,112706,376,181100
2013,UA,DFW,31939,78,-1164.456,394.7615999999999,3519,723,249,19,236,1,220,40,15,725.0,13121,1645,11244,20,17448
2013,UA,EWR,31638,78,-890.0243999999998,488.31,46074,9484,2017,206,4789,10,2463,561,168,9615.0,124236,17290,252753,577,182037
2013,UA,IAH,31645,78,-1144.0968,359.81268000000006,63819,10204,3397,328,3138,12,3327,466,127,9852.0,202845,21865,115230,478,250701
2013,UA,JFK,31930,78,-885.3468000000001,487.6775999999999,4536,933,248,4,525,3,154,38,23,986.0,15089,275,28433,464,14902
2013,UA,LAS,31742,78,-1381.8240000000003,432.96120000000013,13159,2279,808,58,636,1,777,62,15,2263.0,42865,4163,32246,36,56449
2013,UA,LAX,31677,78,-1420.884,407.31,32435,6692,2359,177,2293,7,1852,262,46,6329.0,125425,13175,88777,271,152080
2013,UA,MIA,31907,78,-963.4872000000001,309.51828,3087,605,241,24,198,2,141,16,7,542.0,11888,1595,7823,175,11022
2013,UA,ORD,31665,78,-1054.8576,503.7432000000001,58307,12113,3172,245,5349,15,3332,966,130,12165.0,179394,20255,275697,870,253703
2013,UA,PHL,31984,78,-902.8919999999999,478.46268000000003,4111,1049,269,30,447,1,301,35,11,1163.0,14601,2309,30224,58,22568
2013,UA,PHX,31851,78,-1344.1439999999996,401.21148000000017,5981,1186,464,44,298,3,378,35,6,1096.0,23862,3373,11714,70,26745
2013,UA,SFO,31677,78,-1468.5,451.42788,50103,11234,2746,241,5650,10,2588,524,119,11633.0,162264,20082,302796,523,212318
2013,WN,ATL,32859,78,-1013.1371999999998,403.64040000000006,9994,2368,754,78,640,8,892,33,29,1772.0,32342,6609,23538,176,43656
2013,WN,BOS,32899,78,-852.0624000000003,508.37147999999996,8032,2047,666,86,438,5,853,84,11,1728.0,31021,6493,20178,180,45791
2013,WN,DCA,32959,78,-924.4512,466.22520000000003,1386,223,76,19,52,0,78,4,8,158.0,3051,1195,2179,8,3031
2013,WN,DEN,32911,78,-1256.064,478.34028000000006,57008,13064,3315,484,3429,74,5765,426,186,10129.0,142736,41168,133038,2052,288739
2013,WN,EWR,32986,78,-890.0243999999998,488.31,6188,1979,497,164,726,3,588,99,35,2074.0,31258,14212,46099,49,32841
2013,WN,LAS,32931,78,-1381.8240000000003,432.96120000000013,74784,14712,3434,332,2922,40,7985,361,86,11056.0,145682,25839,115590,1174,375102
2013,WN,LAX,33043,78,-1420.884,407.31,37413,9009,2446,81,1938,28,4515,592,47,6607.0,101045,4940,69888,817,219735
2013,WN,PHL,33228,78,-902.8919999999999,478.46268000000003,7899,2442,653,206,646,4,932,58,16,2488.0,37343,17100,40296,264,54264
2013,WN,PHX,33160,78,-1344.1439999999996,401.21148000000017,58384,12448,3524,150,2210,49,6518,381,50,9006.0,149703,9483,71015,1304,308878
2013,WN,SFO,33220,78,-1468.5,451.42788,15553,4903,915,188,1764,8,2026,564,16,4563.0,47148,15706,105745,249,104904
2014,AA,ATL,91243,78,-1013.1371999999998,403.64040000000006,4679,1119,469,48,222,0,381,88,16,987.0,23430,3449,9173,33,23143
2014,AA,BOS,91177,78,-852.0624000000003,508.37147999999996,11396,2608,707,126,978,2,795,200,15,2457.0,38405,9400,45259,180,54203
2014,AA,DCA,91265,78,-924.4512,466.22520000000003,10009,2205,643,112,777,1,673,210,40,1849.0,32865,7058,30783,74,40150
2014,AA,DEN,91415,78,-1256.064,478.34028000000006,4717,1215,461,62,293,1,399,52,22,1070.0,22251,5059,12268,20,24611
2014,AA,DFW,91117,78,-1164.456,394.7615999999999,157195,31214,6517,1112,9563,21,14001,2764,695,35756.0,631268,108255,405236,771,999834
2014,AA,EWR,91642,78,-890.0243999999998,488.31,3351,937,219,22,472,0,223,92,16,940.0,12707,2514,25547,24,15620
2014,AA,IAH,91435,78,-1144.0968,359.81268000000006,4733,1170,415,48,364,0,343,66,18,1054.0,19030,3752,17340,6,23092
2014,AA,JFK,91111,78,-885.3468000000001,487.6775999999999,14749,3034,775,88,1445,3,724,216,83,3157.0,56792,7969,72008,226,52417
2014,AA,LAS,91293,78,-1381.8240000000003,432.96120000000013,9910,2432,808,99,786,4,735,84,20,2083.0,42337,7915,28439,175,46136
2014,AA,LAX,91109,78,-1420.884,407.31,32181,6780,1832,304,2618,9,2016,256,56,6618.0,133542,23263,92954,369,146926
2014,AA,MIA,91247,78,-963.4872000000001,309.51828,47966,8175,2186,312,3001,9,2664,390,217,8127.0,160934,23841,109760,410,192687
2014,AA,ORD,91208,78,-1054.8576,503.7432000000001,49131,12119,2207,268,5505,3,4136,1098,216,12645.0,158338,25136,284905,150,290143
2014,AA,PHL,91616,78,-902.8919999999999,478.46268000000003,3393,829,277,36,302,0,214,79,11,791.0,13645,3380,15899,12,14534
2014,AA,PHX,91397,78,-1344.1439999999996,401.21148000000017,5839,1350,477,80,358,0,436,62,13,1121.0,23315,6024,12314,0,25635
2014,AA,SFO,91163,78,-1468.5,451.42788,10938,3518,785,111,1780,1,841,138,25,3404.0,41420,9049,95255,123,58378
2014,AS,ATL,92466,78,-1013.1371999999998,403.64040000000006,609,73,26,2,38,0,5,5,2,41.0,1196,68,1029,0,180
2014,AS,BOS,92291,78,-852.0624000000003,508.37147999999996,1550,191,39,5,129,0,17,7,0,114.0,1818,154,4053,0,795
2014,AS,DCA,92341,78,-924.4512,466.22520000000003,1451,199,30,6,135,0,28,12,0,150.0,1882,194,5585,6,1307
2014,AS,DEN,92410,78,-1256.064,478.34028000000006,1561,191,62,5,86,0,38,1,2,129.0,2919,188,2947,7,1699
2014,AS,DFW,92379,78,-1164.456,394.7615999999999,1259,122,59,4,46,0,15,0,3,88.0,2665,172,1757,6,691
2014,AS,EWR,92411,78,-890.0243999999998,488.31,695,162,19,8,116,0,21,4,2,175.0,960,498,8088,0,932
2014,AS,IAH,92488,78,-1144.0968,359.81268000000006,365,59,23,2,24,0,11,0,1,33.0,868,117,661,5,336
2014,AS,LAS,92312,78,-1381.8240000000003,432.96120000000013,4665,498,152,12,228,1,106,6,5,333.0,7553,589,7469,17,4336
2014,AS,LAX,92182,78,-1420.884,407.31,6924,899,256,14,489,1,139,13,3,528.0,11854,983,13162,30,5651
2014,AS,ORD,92230,78,-1054.8576,503.7432000000001,1714,365,76,5,256,2,25,1,5,335.0,4274,338,14446,84,981
2014,AS,PHL,92388,78,-902.8919999999999,478.46268000000003,365,86,12,6,68,0,0,1,0,87.0,632,1059,3508,0,25
2014,AS,PHX,92343,78,-1344.1439999999996,401.21148000000017,2535,281,103,3,126,0,49,3,5,183.0,5595,149,3417,0,1843
2014,AS,SFO,92332,78,-1468.5,451.42788,5153,1278,164,40,902,0,173,8,31,1288.0,10488,2351,53438,0,11013
2014,DL,ATL,92795,78,-1013.1371999999998,403.64040000000006,226600,32970,8176,1053,12220,8,11511,2591,346,34316.0,770250,102537,511795,496,673902
2014,DL,BOS,93175,78,-852.0624000000003,508.37147999999996,11735,2195,626,80,942,2,545,93,9,1973.0,37421,6089,40719,283,33841
2014,DL,DCA,93095,78,-924.4512,466.22520000000003,9243,1594,616,71,582,2,322,115,24,1291.0,31147,5959,24084,150,16116
2014,DL,DEN,93196,78,-1256.064,478.34028000000006,6935,1289,437,68,531,1,250,29,23,1147.0,25175,8032,21638,25,13923
2014,DL,DFW,93197,78,-1164.456,394.7615999999999,5612,834,323,55,280,0,173,42,21,699.0,15581,3688,13787,0,8862
2014,DL,EWR,93220,78,-890.0243999999998,488.31,5126,1322,262,45,866,1,151,81,6,1399.0,15563,3196,55154,112,9903
2014,DL,IAH,93253,78,-1144.0968,359.81268000000006,3116,544,226,32,179,0,107,30,10,448.0,11054,2181,8301,0,5359
2014,DL,JFK,93469,78,-885.3468000000001,487.6775999999999,23160,4726,1067,117,2561,2,978,188,116,4757.0,83063,18086,117254,74,66914
2014,DL,LAS,93113,78,-1381.8240000000003,432.96120000000013,11394,1797,603,125,737,0,330,30,12,1478.0,33568,10392,26586,0,18149
2014,DL,LAX,92912,78,-1420.884,407.31,22129,3500,1173,199,1524,0,604,58,29,3075.0,75437,20327,50034,0,38707
2014,DL,MIA,93139,78,-963.4872000000001,309.51828,8602,1471,527,72,578,0,293,85,34,1319.0,29886,8026,22796,0,18411
2014,DL,ORD,93277,78,-1054.8576,503.7432000000001,6493,1520,411,62,831,0,217,67,15,1446.0,22720,4650,47716,0,11688
2014,DL,PHL,93337,78,-902.8919999999999,478.46268000000003,6904,1471,403,56,780,1,230,78,6,1477.0,23658,6121,45490,117,13257
2014,DL,PHX,93132,78,-1344.1439999999996,401.21148000000017,7151,1038,419,66,360,1,191,27,10,872.0,24450,5815,11689,34,10331
2014,DL,SFO,93002,78,-1468.5,451.42788,8800,1805,473,95,1024,1,212,36,10,1704.0,31157,8889,49571,253,12371
2014,UA,ATL,94848,78,-1013.1371999999998,403.64040000000006,1044,301,134,6,69,0,93,16,2,261.0,6264,399,2152,0,6869
