uid,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
4053,2014,7,FL,AirTran Airways Corporation,DTW,"Detroit, MI: Detroit Metro Wayne County",89,13,7,0,5.52,0,0,0,24,0,231
4054,2014,7,FL,AirTran Airways Corporation,TPA,"Tampa, FL: Tampa International",278,61,15.55,0,33.54,1,1,22,378,0,1308
4055,2014,7,FL,AirTran Airways Corporation,PIT,"Pittsburgh, PA: Pittsburgh International",132,15,6.63,0,5.84,0,0,0,179,0,577
4056,2014,7,FL,AirTran Airways Corporation,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",164,31,11.62,0,8.29,0,0,16,640,0,681
4057,2014,7,FL,AirTran Airways Corporation,MDW,"Chicago, IL: Chicago Midway International",303,37,12.92,0,11.69,0,0,412,302,0,692
4058,2014,7,FL,AirTran Airways Corporation,BDL,"Hartford, CT: Bradley International",93,17,7.94,0,4,0,0,48,300,0,221
4059,2014,7,FL,AirTran Airways Corporation,CAK,"Akron, OH: Akron-Canton Regional",155,32,8.05,0,13.89,1,0,99,470,0,1529
4060,2014,7,FL,AirTran Airways Corporation,LGA,"New York, NY: LaGuardia",124,32,8.24,0,6.99,1,0,0,1668,0,454
4061,2014,7,FL,AirTran Airways Corporation,OKC,"Oklahoma City, OK: Will Rogers World",62,12,8.87,0,1.79,0,0,0,33,0,60
4062,2014,7,FL,AirTran Airways Corporation,DAY,"Dayton, OH: James M Cox/Dayton International",31,3,0.68,0,1.85,0,0,0,13,0,92
4063,2014,7,FL,AirTran Airways Corporation,AUS,"Austin, TX: Austin - Bergstrom International",31,14,9.63,0,3,0,0,0,83,0,189
4064,2014,7,FL,AirTran Airways Corporation,SAT,"San Antonio, TX: San Antonio International",54,7,5,0,2,0,0,0,0,0,178
4065,2014,7,FL,AirTran Airways Corporation,LAS,"Las Vegas, NV: McCarran International",120,19,6.92,0,1,1,0,0,426,0,41
4066,2014,7,FL,AirTran Airways Corporation,DEN,"Denver, CO: Denver International",97,20,6.23,0,4.61,1,1,0,221,0,280
4067,2014,7,FL,AirTran Airways Corporation,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",62,5,1,0,3,1,0,0,16,0,121
4068,2014,7,FL,AirTran Airways Corporation,LAX,"Los Angeles, CA: Los Angeles International",31,8,4,0,4,0,0,0,0,0,104
4069,2014,7,FL,AirTran Airways Corporation,SFO,"San Francisco, CA: San Francisco International",31,9,5.5,0,1,0,0,0,96,0,65
4070,2014,7,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",186,12,10,0,2,0,1,0,0,0,250
4071,2014,7,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",2908,206,108.42,1.14,85.53,4,2,231,219,49,3514
4072,2014,7,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",75,5,5,0,0,0,1,0,0,0,0
4073,2014,7,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",31,7,6.87,0,0,0,0,0,4,0,0
4074,2014,7,HA,Hawaiian Airlines Inc.,SAN,"San Diego, CA: San Diego International",31,6,5.06,0,0.94,0,0,0,0,0,17
4075,2014,7,HA,Hawaiian Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",31,10,10,0,0,0,0,0,0,0,0
4076,2014,7,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",62,5,3.6,0,1.4,0,1,0,0,0,23
4077,2014,7,HA,Hawaiian Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",93,9,9,0,0,0,0,0,0,0,0
4078,2014,7,HA,Hawaiian Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",1283,63,38.1,0,22.97,1,1,0,49,0,702
4079,2014,7,HA,Hawaiian Airlines Inc.,PDX,"Portland, OR: Portland International",31,1,1,0,0,0,0,0,0,0,0
4080,2014,7,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31,6,6,0,0,0,0,0,0,0,0
4081,2014,7,HA,Hawaiian Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",742,27,17.21,0,8.79,0,0,0,28,0,233
4082,2014,7,HA,Hawaiian Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",707,33,16.67,0,16.33,0,2,0,0,0,364
4083,2014,7,HA,Hawaiian Airlines Inc.,ITO,"Hilo, HI: Hilo International",493,32,18.84,0,12.97,0,0,0,4,0,352
4084,2014,7,HA,Hawaiian Airlines Inc.,PPG,"Pago Pago, TT: Pago Pago International",11,5,5,0,0,0,0,0,0,0,0
4085,2014,7,MQ,Envoy Air,CLE,"Cleveland, OH: Cleveland-Hopkins International",217,42,16.37,0,9.32,6,1,51,467,0,391
4086,2014,7,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",6113,1356,194.47,2.22,595.27,139,3,2916,19186,74,30205
4087,2014,7,MQ,Envoy Air,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",497,113,42.55,0,29.6,14,0,219,1242,0,1508
4088,2014,7,MQ,Envoy Air,DEN,"Denver, CO: Denver International",155,45,20.18,0,13.11,11,0,10,435,0,677
4089,2014,7,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31,7,7,0,0,0,0,0,0,0,0
4090,2014,7,HA,Hawaiian Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",62,7,5.06,0,1.94,0,0,0,0,0,91
4091,2014,7,MQ,Envoy Air,MQT,"Marquette, MI: Sawyer International",27,7,4.69,0,1.69,0,0,0,22,0,121
4092,2014,7,MQ,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",59,9,4.65,0,1.63,0,0,0,67,0,83
4093,2014,7,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6745,1399,214.43,0.75,649.46,252,26,6612,19372,36,34410
4094,2014,7,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",1529,360,57.14,0.3,120.59,176,4,305,8506,14,6719
4095,2014,7,MQ,Envoy Air,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",30,7,0,0,1,5,0,0,167,0,47
