,flight_year,flight_month,carrier,carrier_name,locationID,airport_name,arr_flights,arr_del15,carrier_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,weather_delay,nas_delay,security_delay,late_aircraft_delay
15562,2017,6,EV,ExpressJet Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1041.0,300.0,94.47,0.0,146.11,20.0,5.0,0.0,3176.0,0.0,15501.0
15572,2017,6,EV,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",1982.0,820.0,72.82,0.0,206.03,120.0,8.0,327.0,55349.0,0.0,18038.0
15596,2017,6,EV,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",3670.0,524.0,74.06,0.0,166.6,26.0,16.0,2494.0,16014.0,0.0,10980.0
15600,2017,6,EV,ExpressJet Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",203.0,33.0,8.91,0.0,11.03,2.0,1.0,20.0,420.0,0.0,628.0
15615,2017,6,EV,ExpressJet Airlines Inc.,MCO,"Orlando, FL: Orlando International",2.0,1.0,0.95,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
15636,2017,6,EV,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",2342.0,386.0,51.45,0.0,114.39,52.0,15.0,726.0,23812.0,0.0,8424.0
15674,2017,6,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",360.0,91.0,23.37,0.0,24.94,0.0,0.0,33.0,1578.0,0.0,2190.0
15681,2017,6,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",108.0,37.0,16.55,0.0,12.01,0.0,0.0,37.0,248.0,0.0,819.0
15686,2017,6,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2006.0,571.0,120.46,0.0,204.87,3.0,1.0,375.0,9102.0,0.0,18118.0
15687,2017,6,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",60.0,17.0,1.91,0.0,3.72,0.0,0.0,51.0,700.0,0.0,712.0
15694,2017,6,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",171.0,47.0,7.99,0.0,10.21,0.0,0.0,21.0,1107.0,0.0,1018.0
15696,2017,6,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",549.0,116.0,32.75,0.0,38.52,0.0,0.0,25.0,2286.0,0.0,3260.0
15697,2017,6,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",191.0,70.0,23.08,0.0,17.67,0.0,0.0,431.0,877.0,0.0,1883.0
15700,2017,6,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",743.0,211.0,39.2,0.0,87.88,9.0,3.0,3.0,5463.0,0.0,8254.0
15702,2017,6,F9,Frontier Airlines Inc.,MIA,"Miami, FL: Miami International",64.0,10.0,3.96,0.0,1.46,0.0,1.0,0.0,254.0,0.0,91.0
15709,2017,6,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",247.0,66.0,13.39,0.0,20.66,1.0,0.0,248.0,2557.0,0.0,2177.0
15712,2017,6,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",241.0,64.0,15.65,0.0,35.04,0.0,0.0,102.0,778.0,0.0,3393.0
15718,2017,6,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",94.0,32.0,11.02,0.0,7.39,0.0,0.0,13.0,478.0,0.0,485.0
15719,2017,6,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",189.0,64.0,9.12,0.0,14.09,1.0,1.0,77.0,2763.0,0.0,1743.0
15730,2017,6,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",30.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15732,2017,6,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",77.0,17.0,14.97,1.0,1.03,0.0,0.0,0.0,0.0,47.0,38.0
15733,2017,6,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",162.0,58.0,54.75,0.0,3.01,0.0,1.0,0.0,6.0,0.0,148.0
15738,2017,6,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
15741,2017,6,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",60.0,27.0,20.67,0.0,5.15,0.0,0.0,0.0,28.0,0.0,134.0
15742,2017,6,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",60.0,18.0,16.68,0.0,1.32,0.0,0.0,0.0,0.0,0.0,111.0
15746,2017,6,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",614.0,195.0,38.35,1.93,48.32,35.0,0.0,385.0,6581.0,95.0,4507.0
15754,2017,6,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",360.0,100.0,13.0,2.37,39.07,10.0,0.0,227.0,2763.0,109.0,3428.0
15755,2017,6,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",794.0,235.0,43.75,6.24,79.95,36.0,7.0,239.0,8257.0,254.0,5746.0
15757,2017,6,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",240.0,101.0,9.43,0.14,7.48,19.0,1.0,355.0,6018.0,16.0,871.0
15759,2017,6,NK,Spirit Air Lines,IAG,"Niagara Falls, NY: Niagara Falls International",43.0,8.0,3.86,0.0,2.26,3.0,0.0,42.0,119.0,0.0,133.0
15760,2017,6,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",578.0,157.0,34.37,3.13,52.55,25.0,0.0,146.0,3254.0,90.0,3081.0
15761,2017,6,NK,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",968.0,241.0,48.1,0.0,86.79,28.0,0.0,283.0,6255.0,0.0,6033.0
15762,2017,6,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",794.0,210.0,41.68,0.0,60.75,25.0,0.0,300.0,5959.0,0.0,4774.0
15766,2017,6,NK,Spirit Air Lines,MCO,"Orlando, FL: Orlando International",830.0,236.0,48.72,1.43,71.77,36.0,3.0,208.0,6532.0,48.0,5879.0
15771,2017,6,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",903.0,246.0,40.45,2.0,69.85,37.0,4.0,465.0,9267.0,61.0,5996.0
15775,2017,6,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.0,9.0,4.03,0.0,2.43,0.0,0.0,0.0,118.0,0.0,77.0
15779,2017,6,NK,Spirit Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",210.0,64.0,14.59,0.0,16.0,3.0,1.0,35.0,1359.0,0.0,1170.0
15793,2017,6,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1294.0,380.0,81.53,0.93,214.95,9.0,4.0,699.0,3216.0,245.0,25528.0
15825,2017,6,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",87.0,19.0,3.61,0.0,7.49,0.0,1.0,0.0,216.0,0.0,596.0
15838,2017,6,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",3705.0,465.0,102.79,0.0,240.33,11.0,7.0,1536.0,3471.0,0.0,18231.0
15839,2017,6,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",454.0,98.0,23.61,0.06,35.49,3.0,7.0,885.0,1389.0,1.0,2488.0
15853,2017,6,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",113.0,40.0,5.71,0.0,7.84,5.0,0.0,566.0,1111.0,0.0,602.0
15880,2017,6,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",756.0,200.0,54.27,0.0,61.1,2.0,2.0,615.0,3202.0,0.0,5274.0
15896,2017,6,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",336.0,66.0,16.14,0.0,34.5,3.0,1.0,63.0,424.0,0.0,2635.0
15897,2017,6,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2491.0,436.0,62.69,1.91,202.5,7.0,1.0,1015.0,5348.0,132.0,12774.0
15910,2017,6,OO,SkyWest Airlines Inc.,MCO,"Orlando, FL: Orlando International",4.0,1.0,0.97,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
15935,2017,6,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",7581.0,1658.0,284.54,3.47,745.98,188.0,27.0,6111.0,39015.0,475.0,57552.0
15941,2017,6,OO,SkyWest Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1274.0,122.0,26.56,0.0,75.17,12.0,0.0,169.0,731.0,0.0,4811.0
15972,2017,6,OO,SkyWest Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",1496.0,259.0,28.98,1.0,102.19,0.0,0.0,1506.0,2894.0,15.0,6374.0
15973,2017,6,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",2995.0,824.0,82.78,0.2,336.49,54.0,4.0,3916.0,29377.0,6.0,27495.0
16002,2017,6,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",498.0,91.0,22.29,0.0,24.23,4.0,1.0,144.0,2109.0,0.0,1803.0
16019,2017,6,UA,United Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",156.0,43.0,11.14,0.0,23.04,0.0,0.0,98.0,490.0,0.0,2363.0
16023,2017,6,UA,United Air Lines Inc.,DEN,"Denver, CO: Denver International",5529.0,632.0,180.17,0.0,245.04,15.0,4.0,2293.0,7781.0,0.0,18839.0
16024,2017,6,UA,United Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",589.0,141.0,36.92,0.0,41.19,1.0,6.0,922.0,3037.0,0.0,3165.0
16028,2017,6,UA,United Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",4574.0,1346.0,207.83,0.0,313.78,40.0,16.0,1543.0,57080.0,0.0,30487.0
16038,2017,6,UA,United Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",5160.0,799.0,210.4,0.0,290.55,20.0,12.0,2272.0,11943.0,0.0,26322.0
16045,2017,6,UA,United Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",996.0,204.0,58.51,0.0,90.28,0.0,1.0,1393.0,2126.0,0.0,7347.0
16046,2017,6,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2425.0,443.0,113.36,0.0,144.89,7.0,1.0,1531.0,6240.0,0.0,12722.0
16050,2017,6,UA,United Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1004.0,206.0,49.16,0.0,59.19,0.0,4.0,302.0,4583.0,0.0,5347.0
16055,2017,6,UA,United Air Lines Inc.,MIA,"Miami, FL: Miami International",362.0,108.0,24.29,0.0,44.37,0.0,6.0,165.0,2954.0,0.0,4220.0
16066,2017,6,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6789.0,1203.0,258.53,1.0,434.19,56.0,40.0,4825.0,30253.0,117.0,45893.0
16071,2017,6,UA,United Air Lines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",562.0,98.0,26.44,0.0,44.12,1.0,0.0,296.0,1123.0,0.0,4123.0
16084,2017,6,UA,United Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",946.0,207.0,40.61,0.0,69.76,2.0,2.0,972.0,3873.0,0.0,5721.0
16085,2017,6,UA,United Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",5118.0,1266.0,252.83,0.0,327.22,13.0,5.0,2369.0,37429.0,0.0,27317.0
16102,2017,6,VX,Virgin America,DEN,"Denver, CO: Denver International",86.0,27.0,3.09,0.0,19.18,1.0,0.0,0.0,162.0,0.0,801.0
16103,2017,6,VX,Virgin America,EWR,"Newark, NJ: Newark Liberty International",240.0,99.0,15.46,0.63,18.08,1.0,0.0,29.0,4217.0,36.0,1037.0
16107,2017,6,VX,Virgin America,JFK,"New York, NY: John F. Kennedy International",356.0,99.0,20.77,0.63,30.13,1.0,1.0,239.0,3509.0,29.0,1466.0
16108,2017,6,VX,Virgin America,LAS,"Las Vegas, NV: McCarran International",388.0,118.0,20.57,0.24,81.66,5.0,0.0,10.0,610.0,5.0,4463.0
16109,2017,6,VX,Virgin America,LAX,"Los Angeles, CA: Los Angeles International",1224.0,363.0,130.35,1.27,132.87,11.0,0.0,490.0,4305.0,55.0,8858.0
16111,2017,6,VX,Virgin America,MCO,"Orlando, FL: Orlando International",47.0,16.0,4.78,0.0,0.47,0.0,1.0,77.0,302.0,0.0,22.0
16113,2017,6,VX,Virgin America,ORD,"Chicago, IL: Chicago O'Hare International",146.0,27.0,8.67,0.0,10.11,0.0,1.0,24.0,348.0,0.0,692.0
16117,2017,6,VX,Virgin America,SEA,"Seattle, WA: Seattle/Tacoma International",224.0,80.0,14.66,0.78,31.07,3.0,0.0,50.0,1378.0,31.0,1737.0
16118,2017,6,VX,Virgin America,SFO,"San Francisco, CA: San Francisco International",1829.0,657.0,110.45,3.97,254.04,27.0,2.0,303.0,19203.0,252.0,15246.0
16122,2017,6,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3494.0,1056.0,256.07,1.48,464.47,29.0,19.0,3798.0,12384.0,49.0,30062.0
16135,2017,6,WN,Southwest Airlines Co.,CLT,"Charlotte, NC: Charlotte Douglas International",230.0,80.0,20.23,0.0,40.98,1.0,1.0,62.0,668.0,0.0,2429.0
16142,2017,6,WN,Southwest Airlines Co.,DEN,"Denver, CO: Denver International",6022.0,1249.0,344.68,2.01,692.29,20.0,7.0,1264.0,7179.0,46.0,37093.0
16147,2017,6,WN,Southwest Airlines Co.,EWR,"Newark, NJ: Newark Liberty International",613.0,260.0,50.81,1.0,54.76,13.0,4.0,3387.0,7087.0,130.0,4420.0
16160,2017,6,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: McCarran International",6339.0,1379.0,342.59,2.91,805.91,27.0,4.0,1540.0,6205.0,70.0,36813.0
16161,2017,6,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3598.0,1147.0,266.89,2.47,478.9,59.0,0.0,585.0,11928.0,100.0,25256.0
16168,2017,6,WN,Southwest Airlines Co.,MCO,"Orlando, FL: Orlando International",3692.0,932.0,231.62,0.23,445.4,27.0,22.0,5390.0,8544.0,9.0,29974.0
16183,2017,6,WN,Southwest Airlines Co.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5100.0,1196.0,338.93,1.0,687.24,35.0,1.0,850.0,5609.0,18.0,34113.0
16196,2017,6,WN,Southwest Airlines Co.,SEA,"Seattle, WA: Seattle/Tacoma International",1196.0,439.0,126.99,0.21,151.88,1.0,2.0,1266.0,5745.0,5.0,6907.0
16197,2017,6,WN,Southwest Airlines Co.,SFO,"San Francisco, CA: San Francisco International",1502.0,536.0,94.09,0.0,199.4,55.0,0.0,2207.0,12089.0,0.0,10490.0
16219,2017,7,DL,Delta Air Lines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",2317.0,262.0,88.96,1.82,71.91,0.0,2.0,2412.0,2835.0,60.0,4615.0
16220,2017,7,DL,Delta Air Lines Inc.,SFO,"San Francisco, CA: San Francisco International",1272.0,245.0,81.31,0.97,34.86,1.0,0.0,750.0,4534.0,68.0,1952.0
16247,2017,7,EV,ExpressJet Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3539.0,738.0,173.07,0.0,380.3,14.0,15.0,0.0,7958.0,0.0,25769.0
16273,2017,7,EV,ExpressJet Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",192.0,57.0,21.3,0.0,22.88,12.0,0.0,0.0,1047.0,0.0,2137.0
16283,2017,7,EV,ExpressJet Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1063.0,153.0,49.14,0.0,65.99,11.0,9.0,0.0,1352.0,0.0,4618.0
16292,2017,7,EV,ExpressJet Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",1967.0,642.0,59.08,0.0,157.2,172.0,7.0,1214.0,47776.0,0.0,12317.0
16316,2017,7,EV,ExpressJet Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",3858.0,497.0,82.67,0.0,209.96,47.0,23.0,1626.0,16526.0,0.0,15084.0
16320,2017,7,EV,ExpressJet Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",228.0,41.0,11.8,0.0,14.32,4.0,1.0,133.0,765.0,0.0,876.0
16335,2017,7,EV,ExpressJet Airlines Inc.,MCO,"Orlando, FL: Orlando International",5.0,3.0,2.2,0.0,0.71,0.0,0.0,0.0,13.0,0.0,151.0
16353,2017,7,EV,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",2121.0,413.0,56.0,0.0,122.79,79.0,11.0,459.0,23989.0,0.0,8702.0
16387,2017,7,F9,Frontier Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",372.0,85.0,20.01,0.0,31.08,1.0,0.0,22.0,1349.0,0.0,3803.0
16394,2017,7,F9,Frontier Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",116.0,42.0,14.62,0.0,16.41,1.0,0.0,0.0,510.0,0.0,1066.0
16399,2017,7,F9,Frontier Airlines Inc.,DEN,"Denver, CO: Denver International",2148.0,508.0,83.07,0.0,203.76,10.0,2.0,749.0,9622.0,0.0,18701.0
16400,2017,7,F9,Frontier Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",62.0,11.0,3.41,0.0,4.49,0.0,1.0,0.0,114.0,0.0,330.0
16407,2017,7,F9,Frontier Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",160.0,31.0,7.87,0.0,6.33,0.0,1.0,38.0,731.0,0.0,543.0
16409,2017,7,F9,Frontier Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",598.0,120.0,35.5,0.0,48.51,1.0,1.0,6.0,1822.0,0.0,3641.0
16410,2017,7,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",204.0,59.0,12.15,0.0,23.34,1.0,0.0,370.0,843.0,0.0,3232.0
16413,2017,7,F9,Frontier Airlines Inc.,MCO,"Orlando, FL: Orlando International",808.0,213.0,46.73,0.0,93.25,8.0,6.0,367.0,4235.0,0.0,10923.0
16415,2017,7,F9,Frontier Airlines Inc.,MIA,"Miami, FL: Miami International",66.0,12.0,4.22,0.0,6.05,0.0,0.0,0.0,117.0,0.0,559.0
16422,2017,7,F9,Frontier Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",280.0,74.0,14.86,0.0,18.85,3.0,2.0,161.0,2062.0,0.0,2434.0
16425,2017,7,F9,Frontier Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",248.0,45.0,11.8,0.0,19.86,1.0,2.0,29.0,438.0,0.0,913.0
16431,2017,7,F9,Frontier Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",98.0,18.0,3.92,0.0,8.06,0.0,0.0,0.0,314.0,0.0,356.0
16432,2017,7,F9,Frontier Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",182.0,53.0,13.99,0.0,11.91,0.0,0.0,91.0,1483.0,0.0,1587.0
16443,2017,7,HA,Hawaiian Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16445,2017,7,HA,Hawaiian Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",79.0,12.0,10.39,0.0,1.61,0.0,0.0,0.0,0.0,0.0,123.0
16446,2017,7,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",170.0,30.0,23.16,2.0,4.84,1.0,1.0,0.0,0.0,33.0,131.0
16451,2017,7,HA,Hawaiian Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",31.0,6.0,5.37,0.12,0.0,0.0,0.0,0.0,24.0,7.0,0.0
16454,2017,7,HA,Hawaiian Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",62.0,16.0,10.34,0.0,5.66,0.0,0.0,0.0,0.0,0.0,276.0
16455,2017,7,HA,Hawaiian Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",62.0,8.0,6.83,0.0,1.17,0.0,0.0,0.0,0.0,0.0,19.0
16459,2017,7,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",638.0,170.0,17.27,1.68,27.53,11.0,1.0,61.0,7391.0,90.0,1995.0
16467,2017,7,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",372.0,101.0,8.0,0.21,15.86,8.0,1.0,133.0,4158.0,11.0,1030.0
16468,2017,7,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",817.0,206.0,26.96,0.94,35.06,22.0,1.0,192.0,10203.0,33.0,2596.0
16470,2017,7,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",248.0,90.0,3.51,0.03,5.69,21.0,0.0,109.0,7635.0,6.0,463.0
16472,2017,7,NK,Spirit Air Lines,IAG,"Niagara Falls, NY: Niagara Falls International",45.0,12.0,0.0,0.0,1.3,2.0,0.0,280.0,616.0,0.0,50.0
16473,2017,7,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",639.0,145.0,15.59,0.0,19.98,28.0,1.0,658.0,6714.0,0.0,1853.0
16474,2017,7,NK,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",1023.0,222.0,18.81,0.77,38.93,34.0,3.0,157.0,9497.0,30.0,3004.0
16475,2017,7,NK,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",825.0,150.0,15.53,0.0,19.17,18.0,1.0,126.0,5543.0,0.0,1589.0
16479,2017,7,NK,Spirit Air Lines,MCO,"Orlando, FL: Orlando International",930.0,189.0,17.3,0.0,34.8,31.0,3.0,90.0,8977.0,0.0,2485.0
16484,2017,7,NK,Spirit Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",930.0,280.0,21.35,1.89,22.15,31.0,3.0,467.0,15893.0,66.0,1901.0
16488,2017,7,NK,Spirit Air Lines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",30.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,151.0,0.0,66.0
16492,2017,7,NK,Spirit Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",217.0,41.0,7.19,0.0,6.51,1.0,0.0,0.0,1462.0,0.0,470.0
16507,2017,7,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1127.0,282.0,60.5,0.24,131.86,4.0,7.0,763.0,3297.0,5.0,10816.0
16540,2017,7,OO,SkyWest Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",56.0,9.0,5.09,0.0,2.5,2.0,1.0,12.0,37.0,0.0,99.0
16553,2017,7,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",3854.0,603.0,125.07,0.66,280.35,37.0,11.0,2350.0,7955.0,57.0,22581.0
16554,2017,7,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",447.0,86.0,15.32,0.0,42.39,4.0,4.0,477.0,1017.0,0.0,3207.0
16568,2017,7,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",148.0,63.0,12.27,0.0,12.96,9.0,0.0,1895.0,1747.0,0.0,1234.0
16595,2017,7,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",664.0,160.0,49.69,0.0,62.05,14.0,1.0,124.0,2608.0,0.0,5037.0
16610,2017,7,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",343.0,77.0,16.61,1.0,34.95,2.0,2.0,245.0,881.0,29.0,2651.0
16611,2017,7,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2640.0,378.0,69.58,1.02,169.96,4.0,0.0,1223.0,4111.0,26.0,11151.0
16624,2017,7,OO,SkyWest Airlines Inc.,MCO,"Orlando, FL: Orlando International",5.0,2.0,0.69,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
16636,2017,7,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",956.0,306.0,77.39,3.22,102.96,16.0,4.0,1143.0,4530.0,185.0,8122.0
16647,2017,7,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",8257.0,1651.0,494.91,2.83,518.72,167.0,55.0,6161.0,28973.0,213.0,38288.0
16653,2017,7,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",1077.0,290.0,93.06,1.0,106.73,14.0,1.0,1593.0,3771.0,21.0,9098.0
16654,2017,7,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12358.0,2519.0,675.52,8.48,976.12,185.0,94.0,11459.0,34357.0,640.0,75528.0
16659,2017,7,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",670.0,252.0,37.38,0.0,60.88,15.0,1.0,1293.0,10045.0,0.0,4949.0
16665,2017,7,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",641.0,152.0,55.53,0.03,43.27,11.0,1.0,1087.0,2005.0,2.0,2690.0
16671,2017,7,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1562.0,473.0,106.33,0.94,107.54,30.0,6.0,1767.0,13641.0,203.0,13377.0
16673,2017,7,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1338.0,393.0,123.36,0.02,157.57,17.0,3.0,1452.0,5057.0,3.0,11227.0
16674,2017,7,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3650.0,811.0,228.67,2.68,280.51,36.0,5.0,2353.0,11667.0,145.0,23226.0
16678,2017,7,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1551.0,461.0,140.42,1.36,140.37,27.0,7.0,2466.0,7444.0,35.0,10205.0
16682,2017,7,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4522.0,1215.0,336.27,2.08,431.58,91.0,14.0,3669.0,16695.0,206.0,34958.0
16692,2017,7,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5770.0,1505.0,315.38,3.63,511.45,150.0,41.0,6934.0,36743.0,415.0,40654.0
16697,2017,7,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5042.0,861.0,292.77,3.0,308.32,64.0,28.0,2909.0,8139.0,99.0,22737.0
16711,2017,7,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",980.0,260.0,83.15,0.95,89.65,15.0,0.0,1776.0,2886.0,35.0,5423.0
16712,2017,7,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1209.0,345.0,95.37,1.11,117.83,14.0,4.0,2185.0,4941.0,42.0,7731.0
